timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T16:03:40.132144,164.2,30.1,10.64,90.7
2026-04-15T16:03:41.133401,165.2,19.9,10.63,90.6
2026-04-15T16:03:42.134649,166.2,21.5,10.63,90.6
2026-04-15T16:03:43.136122,167.2,20.8,10.63,90.6
2026-04-15T16:03:44.137255,168.2,27.9,10.65,90.7
2026-04-15T16:03:45.137824,169.2,19.3,10.65,90.7
2026-04-15T16:03:46.138880,170.2,16.4,10.64,90.7
2026-04-15T16:03:47.139596,171.2,23.9,10.64,90.7
2026-04-15T16:03:48.140603,172.2,31.8,10.64,90.7
2026-04-15T16:03:49.141508,173.2,28.0,10.64,90.7
2026-04-15T16:03:50.142976,174.2,24.0,10.64,90.7
2026-04-15T16:03:51.144558,175.2,18.7,10.64,90.7
2026-04-15T16:03:52.145020,176.2,21.6,10.64,90.6
2026-04-15T16:03:53.146007,177.2,24.6,10.64,90.7
2026-04-15T16:03:54.146982,178.2,18.4,10.65,90.7
2026-04-15T16:03:55.148162,179.2,21.1,10.65,90.7
2026-04-15T16:03:56.149233,180.2,19.3,10.64,90.7
2026-04-15T16:03:57.150605,181.2,25.9,10.64,90.7
2026-04-15T16:03:58.151952,182.2,29.5,10.65,90.7
2026-04-15T16:03:59.153219,183.2,23.7,10.64,90.7
2026-04-15T16:04:00.154635,184.2,20.1,10.65,90.7
2026-04-15T16:04:01.156479,185.2,19.0,10.65,90.7
2026-04-15T16:04:02.158101,186.2,25.6,10.65,90.7
2026-04-15T16:04:03.159794,187.2,37.2,10.65,90.8
2026-04-15T16:04:04.160727,188.2,23.1,10.66,90.9
2026-04-15T16:04:05.161715,189.2,20.3,10.67,90.9
2026-04-15T16:04:06.163015,190.2,29.9,10.66,90.8
2026-04-15T16:04:07.163955,191.2,26.8,10.66,90.9
2026-04-15T16:04:08.164804,192.2,17.7,10.66,90.9
2026-04-15T16:04:09.165576,193.2,25.4,10.66,90.9
2026-04-15T16:04:10.166757,194.2,16.9,10.66,90.9
2026-04-15T16:04:11.168320,195.2,17.1,10.66,90.9
2026-04-15T16:04:12.169846,196.2,22.6,10.66,90.9
2026-04-15T16:04:13.171299,197.2,26.7,10.67,90.9
2026-04-15T16:04:14.172591,198.2,26.2,10.68,91.0
2026-04-15T16:04:15.174044,199.2,30.8,10.68,91.1
2026-04-15T16:04:16.175663,200.2,27.6,10.68,91.0
