timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T17:05:26.680440,157.8,41.2,10.99,93.7
2026-04-15T17:05:27.682978,158.8,48.7,10.99,93.7
2026-04-15T17:05:28.686079,159.8,41.4,11.0,93.7
2026-04-15T17:05:29.691935,160.8,47.8,10.99,93.7
2026-04-15T17:05:30.693602,161.8,43.0,10.99,93.7
2026-04-15T17:05:31.695369,162.8,43.4,10.99,93.7
2026-04-15T17:05:32.697265,163.8,41.0,10.99,93.7
2026-04-15T17:05:33.699758,164.8,42.1,10.99,93.7
2026-04-15T17:05:34.705531,165.8,39.1,10.99,93.7
2026-04-15T17:05:35.709937,166.8,42.1,10.99,93.7
2026-04-15T17:05:36.713078,167.8,47.8,10.99,93.7
2026-04-15T17:05:37.715555,168.8,44.7,11.0,93.8
2026-04-15T17:05:38.717564,169.8,48.7,11.0,93.8
2026-04-15T17:05:39.719180,170.8,54.2,10.99,93.6
2026-04-15T17:05:40.721958,171.8,51.8,10.99,93.7
2026-04-15T17:05:41.725652,172.8,57.3,11.0,93.7
2026-04-15T17:05:42.728271,173.8,58.8,10.99,93.7
2026-04-15T17:05:43.730991,174.9,66.2,10.97,93.5
2026-04-15T17:05:44.732262,175.9,42.9,10.98,93.6
2026-04-15T17:05:45.733918,176.9,45.2,10.98,93.6
2026-04-15T17:05:46.735273,177.9,42.1,10.98,93.6
2026-04-15T17:05:47.737222,178.9,44.3,10.98,93.6
2026-04-15T17:05:48.739923,179.9,55.3,11.0,93.7
2026-04-15T17:05:49.741493,180.9,46.6,10.97,93.5
2026-04-15T17:05:50.743257,181.9,39.7,10.99,93.6
2026-04-15T17:05:51.745602,182.9,48.2,10.98,93.6
2026-04-15T17:05:52.748242,183.9,41.2,10.98,93.6
2026-04-15T17:05:53.750118,184.9,46.1,10.98,93.6
2026-04-15T17:05:54.751819,185.9,63.3,10.99,93.7
2026-04-15T17:05:55.753861,186.9,37.4,10.99,93.6
2026-04-15T17:05:56.755519,187.9,42.6,10.98,93.6
2026-04-15T17:05:57.757386,188.9,41.2,10.99,93.7
2026-04-15T17:05:58.759130,189.9,41.3,11.0,93.8
2026-04-15T17:05:59.762538,190.9,42.0,10.99,93.6
2026-04-15T17:06:00.765286,191.9,35.9,10.99,93.7
2026-04-15T17:06:01.767519,192.9,37.8,10.99,93.6
2026-04-15T17:06:02.769621,193.9,35.8,10.99,93.7
2026-04-15T17:06:03.771227,194.9,48.5,10.99,93.7
2026-04-15T17:06:04.772907,195.9,37.5,10.99,93.7
2026-04-15T17:06:05.774684,196.9,34.9,10.99,93.7
2026-04-15T17:06:06.776202,197.9,32.6,10.99,93.7
2026-04-15T17:06:07.778723,198.9,42.0,10.99,93.7
2026-04-15T17:06:08.780526,199.9,37.5,11.0,93.7
2026-04-15T17:06:09.782444,200.9,40.3,10.99,93.6
